id,y
534,4
535,2
536,1
537,4
538,2
539,1
540,0
541,0
542,4
543,4
544,0
545,4
546,0
547,0
548,2
549,1
550,4
551,2
552,0
553,0
554,1
555,4
556,2
557,1
558,4
559,2
560,0
561,4
562,2
563,4
564,1
565,3
566,1
567,1
568,0
569,2
570,0
571,3
572,1
573,1
574,0
575,2
576,4
577,1
578,1
579,1
580,1
581,4
582,2
583,4
584,0
585,4
586,1
587,0
588,1
589,3
590,1
591,0
592,3
593,2
594,0
595,0
596,3
597,1
598,0
599,3
600,2
601,1
602,4
603,2
604,0
605,0
606,4
607,0
608,0
609,0
610,0
611,2
612,2
613,4
614,4
615,2
616,3
617,0
618,1
619,4
620,1
621,4
622,3
623,0
624,0
625,2
626,2
627,3
628,2
629,2
630,0
631,0
632,1
633,2
634,4
635,2
636,4
637,1
638,1
639,0
640,4
641,1
642,3
643,3
644,4
645,2
646,3
647,1
648,1
649,4
650,1
651,0
652,1
653,2
654,1
655,2
656,4
657,3
658,0
659,2
660,4
661,0
662,2
663,1
664,4
665,1
666,2
667,2
668,2
669,2
670,4
671,1
672,3
673,3
674,0
675,2
676,2
677,2
678,4
679,0
680,0
681,0
682,0
683,4
684,2
685,4
686,1
687,3
688,0
689,2
690,0
691,3
692,1
693,0
694,1
695,0
696,0
697,1
698,2
699,0
700,2
701,3
702,0
703,1
704,2
705,0
706,2
707,3
708,0
709,4
710,2
711,0
712,2
713,0
714,2
715,2
716,0
717,2
718,3
719,1
720,0
721,2
722,2
723,2
724,3
725,1
726,2
727,3
728,3
729,1
730,2
731,1
732,2
733,0
734,4
735,2
736,2
737,2
738,1
739,0
740,1
741,1
742,1
743,0
744,3
745,3
746,2
747,2
748,0
749,0
750,1
751,0
752,1
753,2
754,0
755,3
756,0
757,3
758,0
759,1
760,2
761,2
762,1
763,3
764,0
765,0
766,4
767,2
768,0
769,3
770,3
771,2
772,3
773,1
774,0
775,3
776,2
777,1
778,3
779,4
780,1
781,0
782,2
783,0
784,0
785,0
786,0
787,0
788,3
789,0
790,1
791,3
792,3
793,2
794,3
795,0
796,0
797,3
798,0
799,0
800,3
801,1
802,0
803,0
804,4
805,0
806,3
807,0
808,0
809,0
810,0
811,3
812,0
813,1
814,3
815,0
816,4
817,4
818,0
819,0
820,2
821,1
822,2
823,0
824,1
825,2
826,2
827,1
828,1
829,3
830,3
831,1
832,4
833,0
834,0
835,2
836,1
837,2
838,1
839,0
840,3
841,0
842,1
843,0
844,1
845,3
846,0
847,3
848,3
849,1
850,2
851,0
852,1
853,1
854,0
855,2
856,3
857,3
858,4
859,2
860,4
861,0
862,4
863,2
864,1
865,3
866,4
867,3
868,0
869,0
870,3
871,2
872,0
873,2
874,3
875,0
876,4
877,3
878,1
879,2
880,1
881,0
882,2
883,3
884,3
885,0
886,1
887,4
888,4
889,1
890,3
891,1
892,0
893,2
894,1
895,3
896,3
897,4
898,2
899,2
900,3
901,4
902,2
903,1
904,2
905,3
906,3
907,1
908,3
909,3
910,3
911,3
912,2
913,3
914,2
915,2
916,2
917,3
918,1
919,3
920,1
921,3
922,1
923,3
924,3
925,4
926,2
927,1
928,2
929,0
930,4
931,4
932,1
933,2
934,2
935,4
936,4
937,1
938,2
939,1
940,3
941,0
942,2
943,2
944,3
945,2
946,2
947,2
948,0
949,1
950,3
951,1
952,3
953,2
954,3
955,2
956,3
957,2
958,4
959,2
960,2
961,3
962,4
963,3
964,3
965,0
966,2
967,0
968,0
969,3
970,1
971,0
972,3
973,1
974,1
975,3
976,4
977,1
978,3
979,1
980,2
981,3
982,1
983,1
984,3
985,2
986,4
987,1
988,4
989,1
990,4
991,0
992,0
993,3
994,0
995,0
996,0
997,2
998,2
999,4
1000,1
1001,0
1002,2
1003,3
1004,0
1005,3
1006,1
1007,0
1008,3
1009,0
1010,2
1011,3
1012,3
1013,0
1014,2
1015,3
1016,4
1017,0
1018,2
1019,2
1020,0
1021,3
1022,4
1023,3
1024,1
1025,0
1026,2
1027,3
1028,4
1029,0
1030,2
1031,2
1032,1
1033,3
1034,3
1035,3
1036,2
1037,2
1038,3
1039,2
1040,0
1041,1
1042,4
1043,3
1044,3
1045,2
1046,3
1047,2
1048,3
1049,1
1050,2
1051,3
1052,4
1053,2
1054,2
1055,2
1056,4
1057,0
1058,4
1059,3
1060,4
1061,0
1062,4
1063,2
1064,2
1065,3
1066,0
1067,2
1068,1
1069,3
1070,2
1071,2
1072,1
1073,3
1074,2
1075,2
1076,3
1077,2
1078,0
1079,2
1080,3
1081,3
1082,2
1083,1
1084,0
1085,1
1086,1
1087,2
1088,0
1089,3
1090,3
1091,2
1092,3
1093,3
1094,3
1095,3
1096,3
1097,3
1098,2
1099,1
1100,3
1101,2
1102,1
1103,3
1104,2
1105,1
1106,2
1107,0
1108,4
1109,3
1110,3
1111,2
1112,3
1113,3
1114,2
1115,0
1116,3
1117,0
1118,3
1119,2
1120,1
1121,3
1122,3
1123,3
1124,1
1125,3
1126,3
1127,3
1128,2
1129,3
1130,3
1131,1
1132,3
1133,2
1134,3
1135,3
1136,3
1137,3
1138,3
1139,3
1140,3
1141,2
1142,2
1143,3
1144,3
1145,3
1146,1
1147,3
1148,1
1149,0
1150,3
1151,3
1152,3
1153,2
1154,3
1155,2
1156,1
1157,3
1158,3
1159,1
1160,3
1161,0
1162,3
1163,3
1164,3
1165,2
1166,3
1167,3
1168,2
1169,3
1170,3
1171,3
1172,2
1173,2
1174,3
1175,0
1176,2
1177,3
1178,1
1179,3
1180,1
1181,2
1182,2
1183,3
1184,1
1185,3
1186,2
1187,1
1188,1
1189,2
1190,2
1191,3
1192,1
1193,3
1194,3
1195,2
1196,3
1197,2
1198,3
1199,2
